ENTIDAD,CL_VEHI,tipo_veh,estructu,TT_VEHI,est_ttve
1,1,1,2390,1028,
1,1,2,2390,425,
1,1,3,2390,0,
1,1,4,2390,278,
1,1,5,2390,24,
1,2,1,2390,1407,
1,2,2,2390,0,
1,2,3,2390,0,
1,2,4,2390,50,
1,2,5,2390,0,
2,1,1,2390,4342,
2,1,2,2390,3356,
2,1,3,2390,0,
2,1,4,2390,321,
2,1,5,2390,0,
2,2,1,2390,3515,
2,2,2,2390,1865,
2,2,3,2390,0,
2,2,4,2390,88,
2,2,5,2390,0,
3,1,1,2390,434,
3,1,2,2390,179,
3,1,3,2390,8,
3,1,4,2390,109,
3,1,5,2390,238,
3,2,1,2390,337,
3,2,2,2390,138,
3,2,3,2390,6,
3,2,4,2390,41,
3,2,5,2390,194,
4,1,1,2390,35,
4,1,2,2390,17,
4,1,3,2390,1,
4,1,4,2390,221,
4,1,5,2390,0,
4,2,1,2390,12,
4,2,2,2390,4,
4,2,3,2390,0,
4,2,4,2390,44,
4,2,5,2390,0,
5,1,1,2390,1320,
5,1,2,2390,963,
5,1,3,2390,193,
5,1,4,2390,165,
5,1,5,2390,110,
5,2,1,2390,956,
5,2,2,2390,697,
5,2,3,2390,139,
5,2,4,2390,119,
5,2,5,2390,80,
6,1,1,2390,,2
6,1,2,2390,,2
6,1,3,2390,,2
6,1,4,2390,,2
6,1,5,2390,,2
6,1,9,2390,548,
6,2,1,2390,,2
6,2,2,2390,,2
6,2,3,2390,,2
6,2,4,2390,,2
6,2,5,2390,,2
6,2,9,2390,672,
7,1,1,2390,546,
7,1,2,2390,477,
7,1,3,2390,51,
7,1,4,2390,511,
7,1,5,2390,169,
7,2,1,2390,214,
7,2,2,2390,161,
7,2,3,2390,35,
7,2,4,2390,70,
7,2,5,2390,73,
8,1,1,2390,2678,
8,1,2,2390,671,
8,1,3,2390,12,
8,1,4,2390,3,
8,1,5,2390,3054,
8,2,1,2390,1811,
8,2,2,2390,477,
8,2,3,2390,20,
8,2,4,2390,40,
8,2,5,2390,1725,
9,1,1,2390,11824,
9,1,2,2390,1818,
9,1,3,2390,159,
9,1,4,2390,1760,
9,1,5,2390,6,
9,2,1,2390,4260,
9,2,2,2390,439,
9,2,3,2390,73,
9,2,4,2390,189,
9,2,5,2390,0,
10,1,1,2390,788,
10,1,2,2390,670,
10,1,3,2390,21,
10,1,4,2390,287,
10,1,5,2390,24,
10,2,1,2390,558,
10,2,2,2390,403,
10,2,3,2390,14,
10,2,4,2390,80,
10,2,5,2390,6,
11,1,1,2390,1764,
11,1,2,2390,3085,
11,1,3,2390,261,
11,1,4,2390,3843,
11,1,5,2390,90,
11,2,1,2390,1035,
11,2,2,2390,1046,
11,2,3,2390,147,
11,2,4,2390,787,
11,2,5,2390,31,
12,1,1,2390,2079,
12,1,2,2390,1361,
12,1,3,2390,82,
12,1,4,2390,852,
12,1,5,2390,151,
12,2,1,2390,750,
12,2,2,2390,325,
12,2,3,2390,20,
12,2,4,2390,58,
12,2,5,2390,76,
13,1,1,2390,1155,
13,1,2,2390,882,
13,1,3,2390,214,
13,1,4,2390,349,
13,1,5,2390,216,
13,2,1,2390,1279,
13,2,2,2390,488,
13,2,3,2390,142,
13,2,4,2390,152,
13,2,5,2390,67,
14,1,1,2390,1931,
14,1,2,2390,827,
14,1,3,2390,295,
14,1,4,2390,809,
14,1,5,2390,7,
14,1,9,2390,11928,
14,2,1,2390,279,
14,2,2,2390,339,
14,2,3,2390,162,
14,2,4,2390,71,
14,2,5,2390,100,
14,2,9,2390,2841,
15,1,1,2390,25135,
15,1,2,2390,8808,
15,1,3,2390,1326,
15,1,4,2390,2621,
15,1,5,2390,11199,
15,2,1,2390,3786,
15,2,2,2390,2717,
15,2,3,2390,408,
15,2,4,2390,807,
15,2,5,2390,7429,
16,1,1,2390,2959,
16,1,2,2390,1278,
16,1,3,2390,297,
16,1,4,2390,1723,
16,1,5,2390,0,
16,2,1,2390,908,
16,2,2,2390,457,
16,2,3,2390,158,
16,2,4,2390,228,
16,2,5,2390,0,
17,1,1,2390,2214,
17,1,2,2390,301,
17,1,3,2390,587,
17,1,4,2390,461,
17,1,5,2390,0,
17,2,1,2390,457,
17,2,2,2390,49,
17,2,3,2390,66,
17,2,4,2390,12,
17,2,5,2390,0,
18,1,1,2390,92,
18,1,2,2390,102,
18,1,3,2390,5,
18,1,4,2390,39,
18,1,5,2390,0,
18,2,1,2390,57,
18,2,2,2390,50,
18,2,3,2390,1,
18,2,4,2390,22,
18,2,5,2390,7,
19,1,1,2390,2148,
19,1,2,2390,496,
19,1,3,2390,201,
19,1,4,2390,0,
19,1,5,2390,5,
19,2,1,2390,2016,
19,2,2,2390,379,
19,2,3,2390,150,
19,2,4,2390,0,
19,2,5,2390,1,
20,1,1,2390,,2
20,1,2,2390,,2
20,1,3,2390,,2
20,1,4,2390,,2
20,1,5,2390,,2
20,1,9,2390,1485,
20,2,1,2390,,2
20,2,2,2390,,2
20,2,3,2390,,2
20,2,4,2390,,2
20,2,5,2390,,2
20,2,9,2390,800,
21,1,1,2390,994,
21,1,2,2390,568,
21,1,3,2390,275,
21,1,4,2390,286,
21,1,5,2390,186,
21,2,1,2390,1267,
21,2,2,2390,459,
21,2,3,2390,214,
21,2,4,2390,166,
21,2,5,2390,180,
22,1,1,2390,1954,
22,1,2,2390,1395,
22,1,3,2390,67,
22,1,4,2390,376,
22,1,5,2390,356,
22,2,1,2390,1484,
22,2,2,2390,614,
22,2,3,2390,369,
22,2,4,2390,95,
22,2,5,2390,9,
23,1,1,2390,574,
23,1,2,2390,182,
23,1,3,2390,27,
23,1,4,2390,678,
23,1,5,2390,0,
23,2,1,2390,96,
23,2,2,2390,44,
23,2,3,2390,9,
23,2,4,2390,123,
23,2,5,2390,0,
24,1,1,2390,194,
24,1,2,2390,232,
24,1,3,2390,54,
24,1,4,2390,289,
24,1,5,2390,74,
24,2,1,2390,294,
24,2,2,2390,186,
24,2,3,2390,21,
24,2,4,2390,71,
24,2,5,2390,28,
25,1,1,2390,2215,
25,1,2,2390,2032,
25,1,3,2390,45,
25,1,4,2390,1320,
25,1,5,2390,230,
25,2,1,2390,1200,
25,2,2,2390,893,
25,2,3,2390,21,
25,2,4,2390,391,
25,2,5,2390,123,
26,1,1,2390,1489,
26,1,2,2390,334,
26,1,3,2390,19,
26,1,4,2390,505,
26,1,5,2390,2117,
26,2,1,2390,617,
26,2,2,2390,135,
26,2,3,2390,5,
26,2,4,2390,72,
26,2,5,2390,525,
27,1,1,2390,576,
27,1,2,2390,241,
27,1,3,2390,31,
27,1,4,2390,22,
27,1,5,2390,656,
27,2,1,2390,238,
27,2,2,2390,82,
27,2,3,2390,16,
27,2,4,2390,20,
27,2,5,2390,192,
28,1,1,2390,,2
28,1,2,2390,,2
28,1,3,2390,,2
28,1,4,2390,,2
28,1,5,2390,,2
28,1,9,2390,6021,
28,2,1,2390,,2
28,2,2,2390,,2
28,2,3,2390,,2
28,2,4,2390,,2
28,2,5,2390,,2
28,2,9,2390,2934,
29,1,1,2390,454,
29,1,2,2390,311,
29,1,3,2390,50,
29,1,4,2390,77,
29,1,5,2390,11,
29,2,1,2390,74,
29,2,2,2390,54,
29,2,3,2390,12,
29,2,4,2390,1,
29,2,5,2390,4,
30,1,1,2390,,2
30,1,2,2390,,2
30,1,3,2390,,2
30,1,4,2390,,2
30,1,5,2390,,2
30,1,9,2390,5210,
30,2,1,2390,,2
30,2,2,2390,,2
30,2,3,2390,,2
30,2,4,2390,,2
30,2,5,2390,,2
31,1,1,2390,143,
31,1,2,2390,2,
31,1,3,2390,1,
31,1,4,2390,435,
31,1,5,2390,0,
31,2,1,2390,54,
31,2,2,2390,0,
31,2,3,2390,1,
31,2,4,2390,50,
31,2,5,2390,0,
32,1,1,2390,1103,
32,1,2,2390,697,
32,1,3,2390,0,
32,1,4,2390,201,
32,1,5,2390,218,
32,2,1,2390,431,
32,2,2,2390,277,
32,2,3,2390,0,
32,2,4,2390,53,
32,2,5,2390,64,