ENTIDAD,VEHIRORE,TIPVEHTT,TIPVEH1,TIPVEH2,TIPVEH3,TIPVEH4,TIPVEH5,TIPVEHNE
1,1,3108,1859,719,0,509,21,
1,2,1817,1817,0,0,0,0,
2,1,16067,7112,4703,119,556,3577,
2,2,4178,2149,1199,37,63,730,
3,1,1751,843,263,7,200,438,
3,2,1374,716,218,6,65,369,
4,1,713,149,43,1,517,3,
4,2,144,42,29,1,71,1,
5,1,912,317,345,145,105,0,
5,2,384,138,123,67,56,0,
6,1,1516,850,306,58,302,0,
6,2,913,524,154,15,220,0,
7,1,1806,166,601,32,641,366,
7,2,254,44,72,6,44,88,
8,1,4366,2114,1764,58,214,216,
8,2,2789,1474,940,31,57,287,
9,1,11753,8212,1195,139,2099,108,
9,2,2840,2249,314,70,203,4,
10,1,1967,559,440,15,949,4,
10,2,657,361,252,11,31,2,
11,1,11047,2827,2581,414,5085,140,
11,2,2988,924,633,145,1252,34,
12,1,2759,1071,1066,28,472,122,
12,2,1179,604,387,18,68,102,
13,1,3470,1485,866,109,514,496,
13,2,784,413,175,38,34,124,
14,1,2662,827,886,157,787,5,
14,2,2170,1330,369,142,308,21,
15,1,42264,24401,11672,1467,4282,442,
15,2,14854,7845,3036,1185,1653,1135,
16,1,9570,2755,4113,494,1870,338,
16,2,986,327,477,106,70,6,
17,1,3867,2481,652,93,602,39,
17,2,1634,1219,226,67,118,4,
18,1,221,102,55,5,57,2,
18,2,93,42,26,2,14,9,
19,1,4158,2603,702,269,543,41,
19,2,2133,1658,287,105,75,8,
20,1,3222,1729,0,0,1493,0,
20,2,1949,1050,0,0,899,0,
21,1,2717,932,1188,367,139,91,
21,2,444,234,128,48,10,24,
22,1,5080,2331,1798,228,538,185,
22,2,1573,946,450,61,93,23,
23,1,1344,378,49,4,896,17,
23,2,357,222,28,4,102,1,
24,1,1280,268,320,46,561,85,
24,2,613,297,212,23,54,27,
25,1,4885,1595,30,1519,1542,199,
25,2,1567,712,543,10,208,94,
26,1,3276,1711,823,31,582,129,
26,2,1260,800,316,10,80,54,
27,1,3580,1626,597,78,1053,226,
27,2,743,283,202,13,45,200,
28,1,4996,1944,1959,258,258,577,
28,2,3078,1238,1098,477,61,204,
29,1,1578,523,551,314,189,1,
29,2,301,104,73,114,10,0,
30,1,8703,NSS,NSS,NSS,NSS,NSS,8703
30,2,NSS,NSS,NSS,NSS,NSS,NSS,
31,1,410,80,20,3,305,2,
31,2,136,74,8,3,49,2,
32,1,2050,905,884,186,3,72,
32,2,1350,669,523,59,59,40,