entidad,acuerepa,totalca1
"01",1,"250"
"01",2,"25"
"01",3,"275"
"01",9,""
"02",1,"721"
"02",2,"0"
"02",3,"721"
"02",9,""
"03",1,"NSS"
"03",2,"NSS"
"03",3,"NSS"
"03",9,""
"04",1,"19"
"04",2,"0"
"04",3,"19"
"04",9,""
"05",1,"6468"
"05",2,"0"
"05",3,"6468"
"05",9,""
"06",1,"NSS"
"06",2,"NSS"
"06",3,"NSS"
"06",9,""
"07",1,"NSS"
"07",2,"NSS"
"07",3,"9"
"07",9,"9"
"08",1,"NSS"
"08",2,"NSS"
"08",3,"521"
"08",9,"521"
"09",1,"0"
"09",2,"6158"
"09",3,"6158"
"09",9,""
"10",1,"262"
"10",2,"71"
"10",3,"333"
"10",9,""
"11",1,"0"
"11",2,"1098"
"11",3,"1098"
"11",9,""
"12",1,"436"
"12",2,"206"
"12",3,"642"
"12",9,""
"13",1,"651"
"13",2,"159"
"13",3,"810"
"13",9,""
"14",1,"393"
"14",2,"164"
"14",3,"557"
"14",9,""
"15",1,"1488"
"15",2,"0"
"15",3,"1488"
"15",9,""
"16",1,"NSS"
"16",2,"NSS"
"16",3,"NSS"
"16",9,""
"17",1,"NSS"
"17",2,"NSS"
"17",3,"1316"
"17",9,"1316"
"18",1,"NSS"
"18",2,"NSS"
"18",3,"157"
"18",9,"157"
"19",1,"963"
"19",2,"0"
"19",3,"963"
"19",9,""
"20",1,"NSS"
"20",2,"NSS"
"20",3,"NSS"
"20",9,""
"21",1,"NSS"
"21",2,"NSS"
"21",3,"NSS"
"21",9,""
"22",1,"762"
"22",2,"673"
"22",3,"1435"
"22",9,""
"23",1,"717"
"23",2,"50"
"23",3,"767"
"23",9,""
"24",1,"6"
"24",2,"4"
"24",3,"10"
"24",9,""
"25",1,"0"
"25",2,"53"
"25",3,"53"
"25",9,""
"26",1,"NSS"
"26",2,"NSS"
"26",3,"NSS"
"26",9,""
"27",1,"124"
"27",2,"0"
"27",3,"124"
"27",9,""
"28",1,"NSS"
"28",2,"NSS"
"28",3,"NSS"
"28",9,""
"29",1,"NSS"
"29",2,"NSS"
"29",3,"NSS"
"29",9,""
"30",1,"NSS"
"30",2,"NSS"
"30",3,"NSS"
"30",9,""
"31",1,"NSS"
"31",2,"NSS"
"31",3,"70"
"31",9,"70"
"32",1,"NSS"
"32",2,"NSS"
"32",3,"NSS"
"32",9,""