entidad,mat_alte,medcontt,medcon1,medcon2,medcon3,medcon4,medcon5,medcon6,medcon7,medcon8,medcon9,medcon10,medconne
"01",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"01",2,"0","0","0","0","0","0","0","0","0","0","0",""
"01",3,"0","0","0","0","0","0","0","0","0","0","0",""
"01",9,"","","","","","","","","","","",""
"02",1,"0","0","0","0","0","0","0","0","0","0","0",""
"02",2,"0","0","0","0","0","0","0","0","0","0","0",""
"02",3,"0","0","0","0","0","0","0","0","0","0","0",""
"02",9,"","","","","","","","","","","",""
"03",1,"688","399","154","97","38","0","0","0","0","0","0",""
"03",2,"2","2","0","0","0","0","0","0","0","0","0",""
"03",3,"0","0","0","0","0","0","0","0","0","0","0",""
"03",9,"","","","","","","","","","","",""
"04",1,"803","714","89","0","0","0","0","0","0","0","0",""
"04",2,"0","0","0","0","0","0","0","0","0","0","0",""
"04",3,"0","0","0","0","0","0","0","0","0","0","0",""
"04",9,"","","","","","","","","","","",""
"05",1,"831","796","35","0","0","0","0","0","0","0","0",""
"05",2,"0","0","0","0","0","0","0","0","0","0","0",""
"05",3,"0","0","0","0","0","0","0","0","0","0","0",""
"05",9,"","","","","","","","","","","",""
"06",1,"0","0","0","0","0","0","0","0","0","0","0",""
"06",2,"0","0","0","0","0","0","0","0","0","0","0",""
"06",3,"0","0","0","0","0","0","0","0","0","0","0",""
"06",9,"","","","","","","","","","","",""
"07",1,"0","0","0","0","0","0","0","0","0","0","0",""
"07",2,"0","0","0","0","0","0","0","0","0","0","0",""
"07",3,"0","0","0","0","0","0","0","0","0","0","0",""
"07",9,"","","","","","","","","","","",""
"08",1,"8649","0","18","0","7","0","0","0","0","8156","468",""
"08",2,"0","0","0","0","0","0","0","0","0","0","0",""
"08",3,"0","0","0","0","0","0","0","0","0","0","0",""
"08",9,"","","","","","","","","","","",""
"09",1,"1843","1509","272","46","16","0","0","0","0","0","0",""
"09",2,"74","62","10","0","2","0","0","0","0","0","0",""
"09",3,"0","0","0","0","0","0","0","0","0","0","0",""
"09",9,"","","","","","","","","","","",""
"10",1,"486","383","49","43","11","0","0","0","0","0","0",""
"10",2,"25","20","2","2","1","0","0","0","0","0","0",""
"10",3,"0","0","0","0","0","0","0","0","0","0","0",""
"10",9,"","","","","","","","","","","",""
"11",1,"0","0","0","0","0","0","0","0","0","0","0",""
"11",2,"0","0","0","0","0","0","0","0","0","0","0",""
"11",3,"0","0","0","0","0","0","0","0","0","0","0",""
"11",9,"","","","","","","","","","","",""
"12",1,"0","0","0","0","0","0","0","0","0","0","0",""
"12",2,"0","0","0","0","0","0","0","0","0","0","0",""
"12",3,"0","0","0","0","0","0","0","0","0","0","0",""
"12",9,"","","","","","","","","","","",""
"13",1,"0","0","0","0","0","0","0","0","0","0","0",""
"13",2,"0","0","0","0","0","0","0","0","0","0","0",""
"13",3,"0","0","0","0","0","0","0","0","0","0","0",""
"13",9,"","","","","","","","","","","",""
"14",1,"0","0","0","0","0","0","0","0","0","0","0",""
"14",2,"0","0","0","0","0","0","0","0","0","0","0",""
"14",3,"0","0","0","0","0","0","0","0","0","0","0",""
"14",9,"","","","","","","","","","","",""
"15",1,"755","NSS","NSS","0","0","0","0","0","0","0","0",""
"15",2,"0","0","0","0","0","0","0","0","0","0","0",""
"15",3,"0","0","0","0","0","0","0","0","0","0","0",""
"15",9,"","","","","","","","","","","",""
"16",1,"0","0","0","0","0","0","0","0","0","0","0",""
"16",2,"0","0","0","0","0","0","0","0","0","0","0",""
"16",3,"0","0","0","0","0","0","0","0","0","0","0",""
"16",9,"","","","","","","","","","","",""
"17",1,"48","0","0","0","0","0","0","0","0","0","48",""
"17",2,"0","0","0","0","0","0","0","0","0","0","0",""
"17",3,"0","0","0","0","0","0","0","0","0","0","0",""
"17",9,"","","","","","","","","","","",""
"18",1,"0","0","0","0","0","0","0","0","0","0","0",""
"18",2,"0","0","0","0","0","0","0","0","0","0","0",""
"18",3,"0","0","0","0","0","0","0","0","0","0","0",""
"18",9,"","","","","","","","","","","",""
"19",1,"0","0","0","0","0","0","0","0","0","0","0",""
"19",2,"0","0","0","0","0","0","0","0","0","0","0",""
"19",3,"0","0","0","0","0","0","0","0","0","0","0",""
"19",9,"","","","","","","","","","","",""
"20",1,"154","61","2","65","16","10","0","0","0","0","0",""
"20",2,"14","0","0","0","0","14","0","0","0","0","0",""
"20",3,"231","88","17","67","38","20","1","0","0","0","0",""
"20",9,"","","","","","","","","","","",""
"21",1,"3136","2848","220","3","0","64","1","0","0","0","0",""
"21",2,"0","0","0","0","0","0","0","0","0","0","0",""
"21",3,"0","0","0","0","0","0","0","0","0","0","0",""
"21",9,"","","","","","","","","","","",""
"22",1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"22",2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"22",3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",""
"22",9,"","","","","","","","","","","",""
"23",1,"0","0","0","0","0","0","0","0","0","0","0",""
"23",2,"0","0","0","0","0","0","0","0","0","0","0",""
"23",3,"0","0","0","0","0","0","0","0","0","0","0",""
"23",9,"","","","","","","","","","","",""
"24",1,"0","0","0","0","0","0","0","0","0","0","0",""
"24",2,"0","0","0","0","0","0","0","0","0","0","0",""
"24",3,"0","0","0","0","0","0","0","0","0","0","0",""
"24",9,"","","","","","","","","","","",""
"25",1,"0","0","0","0","0","0","0","0","0","0","0",""
"25",2,"0","0","0","0","0","0","0","0","0","0","0",""
"25",3,"0","0","0","0","0","0","0","0","0","0","0",""
"25",9,"","","","","","","","","","","",""
"26",1,"283","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","283"
"26",2,"0","0","0","0","0","0","0","0","0","0","0",""
"26",3,"0","0","0","0","0","0","0","0","0","0","0",""
"26",9,"","","","","","","","","","","",""
"27",1,"0","0","0","0","0","0","0","0","0","0","0",""
"27",2,"0","0","0","0","0","0","0","0","0","0","0",""
"27",3,"0","0","0","0","0","0","0","0","0","0","0",""
"27",9,"","","","","","","","","","","",""
"28",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"28",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"28",3,"0","0","0","0","0","0","0","0","0","0","0",""
"28",9,"","","","","","","","","","","",""
"29",1,"0","0","0","0","0","0","0","0","0","0","0",""
"29",2,"0","0","0","0","0","0","0","0","0","0","0",""
"29",3,"0","0","0","0","0","0","0","0","0","0","0",""
"29",9,"","","","","","","","","","","",""
"30",1,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"30",2,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"30",3,"NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS","NSS",""
"30",9,"","","","","","","","","","","",""
"31",1,"0","0","0","0","0","0","0","0","0","0","0",""
"31",2,"0","0","0","0","0","0","0","0","0","0","0",""
"31",3,"0","0","0","0","0","0","0","0","0","0","0",""
"31",9,"","","","","","","","","","","",""
"32",1,"3689","1428","111","1908","242","0","0","0","0","0","0",""
"32",2,"145","0","0","0","0","132","13","0","0","0","0",""
"32",3,"0","0","0","0","0","0","0","0","0","0","0",""
"32",9,"","","","","","","","","","","",""