entidad,sisoemtt,sisoem1,sisoem2
"01","65","65","0"
"02","517","517","0"
"03","15","15","0"
"04","34","0","34"
"05","93","78","15"
"07","44","6","38"
"08","778","0","778"
"09","571","561","10"
"10","173","1","172"
"12","33","0","33"
"13","79","79","0"
"14","245","245","0"
"15","854","852","2"
"16","52","52","0"
"17","254","0","254"
"18","314","314","0"
"19","910","0","910"
"20","106","0","106"
"21","58","49","9"
"22","79","0","79"
"23","13","0","13"
"24","2","2","0"
"25","322","0","322"
"26","520","520","0"
"27","45","1","44"
"28","468","468","0"
"29","43","43","0"
"30","187","0","187"
"31","45","0","45"
"32","353","0","353"