entidad,mat_alte,tietaptt,tietap1,tietap2,tietap3,tietap4,tietapne
"01",1,"NSS","NSS","NSS","NSS","NSS",""
"01",2,"0","0","0","0","0",""
"01",3,"0","0","0","0","0",""
"02",1,"702","0","702","0","0",""
"02",2,"0","0","0","0","0",""
"02",3,"0","0","0","0","0",""
"03",1,"24","6","10","7","1",""
"03",2,"0","0","0","0","0",""
"03",3,"0","0","0","0","0",""
"04",1,"10","1","6","3","0",""
"04",2,"0","0","0","0","0",""
"04",3,"0","0","0","0","0",""
"05",1,"1304","0","464","840","0",""
"05",2,"0","0","0","0","0",""
"05",3,"0","0","0","0","0",""
"06",1,"123","0","0","0","123",""
"06",2,"0","0","0","0","0",""
"06",3,"0","0","0","0","0",""
"07",1,"8340","7256","0","0","1084",""
"07",2,"29","29","0","0","0",""
"07",3,"0","0","0","0","0",""
"08",1,"1008","0","35","897","76",""
"08",2,"0","0","0","0","0",""
"08",3,"0","0","0","0","0",""
"09",1,"228","0","140","3","85",""
"09",2,"5","0","5","0","0",""
"09",3,"0","0","0","0","0",""
"10",1,"571","0","0","0","571",""
"10",2,"8","0","0","0","8",""
"10",3,"0","0","0","0","0",""
"11",1,"411","0","0","0","411",""
"11",2,"0","0","0","0","0",""
"11",3,"0","0","0","0","0",""
"12",1,"219","70","100","49","0",""
"12",2,"0","0","0","0","0",""
"12",3,"0","0","0","0","0",""
"13",1,"89","0","0","0","89",""
"13",2,"0","0","0","0","0",""
"13",3,"0","0","0","0","0",""
"14",1,"2273","0","2273","0","0",""
"14",2,"36","0","36","0","0",""
"14",3,"0","0","0","0","0",""
"15",1,"NSS","NSS","NSS","NSS","NSS",""
"15",2,"NSS","NSS","NSS","NSS","NSS",""
"15",3,"NSS","NSS","NSS","NSS","NSS",""
"16",1,"700","300","300","100","0",""
"16",2,"0","0","0","0","0",""
"16",3,"0","0","0","0","0",""
"17",1,"255","255","0","0","0",""
"17",2,"0","0","0","0","0",""
"17",3,"0","0","0","0","0",""
"18",1,"140","NSS","NSS","NSS","0","140"
"18",2,"0","0","0","0","0",""
"18",3,"0","0","0","0","0",""
"19",1,"55","55","0","0","0",""
"19",2,"3","3","0","0","0",""
"19",3,"0","0","0","0","0",""
"20",1,"0","0","0","0","0",""
"20",2,"0","0","0","0","0",""
"20",3,"2","0","1","0","1",""
"21",1,"652","0","652","0","0",""
"21",2,"0","0","0","0","0",""
"21",3,"0","0","0","0","0",""
"22",1,"NA","NA","NA","NA","NA",""
"22",2,"NA","NA","NA","NA","NA",""
"22",3,"NA","NA","NA","NA","NA",""
"23",1,"1217","515","435","267","0",""
"23",2,"54","38","16","0","0",""
"23",3,"0","0","0","0","0",""
"24",1,"825","113","352","360","0",""
"24",2,"13","6","3","4","0",""
"24",3,"0","0","0","0","0",""
"25",1,"25","0","12","10","3",""
"25",2,"0","0","0","0","0",""
"25",3,"0","0","0","0","0",""
"26",1,"NSS","NSS","NSS","NSS","NSS",""
"26",2,"NSS","NSS","NSS","NSS","NSS",""
"26",3,"0","0","0","0","0",""
"27",1,"143","NSS","NSS","NSS","NSS","143"
"27",2,"0","0","0","0","0",""
"27",3,"0","0","0","0","0",""
"28",1,"NSS","NSS","NSS","NSS","NSS",""
"28",2,"NSS","NSS","NSS","NSS","NSS",""
"28",3,"0","0","0","0","0",""
"29",1,"200","0","200","0","0",""
"29",2,"0","0","0","0","0",""
"29",3,"0","0","0","0","0",""
"30",1,"NSS","NSS","NSS","NSS","NSS",""
"30",2,"NSS","NSS","NSS","NSS","NSS",""
"30",3,"NSS","NSS","NSS","NSS","NSS",""
"31",1,"300","0","0","200","100",""
"31",2,"0","0","0","0","0",""
"31",3,"0","0","0","0","0",""
"32",1,"278","1","25","50","202",""
"32",2,"61","0","2","16","43",""
"32",3,"0","0","0","0","0",""