entidad,delidete,acpenctt,acpenc1,acpenc2
"01",1,"15365","4416","10949"
"01",2,"0","0","0"
"01",3,"0","0","0"
"02",1,"72916","19874","53042"
"02",2,"233","233","0"
"02",3,"0","0","0"
"03",1,"13481","NSS","13481"
"03",2,"NSS","NSS","NSS"
"03",3,"NSS","NSS","NSS"
"04",1,"848","205","643"
"04",2,"9","0","9"
"04",3,"0","0","0"
"05",1,"65318","36190","29128"
"05",2,"242","0","242"
"05",3,"0","0","0"
"06",1,"8415","2000","6415"
"06",2,"438","221","217"
"06",3,"0","0","0"
"07",1,"18493","602","17891"
"07",2,"338","8","330"
"07",3,"0","0","0"
"08",1,"46092","NA","46092"
"08",2,"653","NA","653"
"08",3,"NSS","NA","NSS"
"09",1,"61596","12523","49073"
"09",2,"0","0","0"
"09",3,"0","0","0"
"10",1,"23614","270","23344"
"10",2,"245","0","245"
"10",3,"0","0","0"
"11",1,"53560","5927","47633"
"11",2,"275","18","257"
"11",3,"0","0","0"
"12",1,"20630","7091","13539"
"12",2,"0","0","0"
"12",3,"130","14","116"
"13",1,"75136","51991","23145"
"13",2,"263","164","99"
"13",3,"0","0","0"
"14",1,"69192","28889","40303"
"14",2,"289","104","185"
"14",3,"0","0","0"
"15",1,"75961","NA","75961"
"15",2,"0","NA","0"
"15",3,"0","NA","0"
"16",1,"NSS","NSS","NSS"
"16",2,"NSS","NSS","NSS"
"16",3,"NSS","NSS","NSS"
"17",1,"35228","8081","27147"
"17",2,"NSS","NSS","NSS"
"17",3,"NSS","NSS","NSS"
"18",1,"752","108","644"
"18",2,"10","0","10"
"18",3,"0","0","0"
"19",1,"35667","81","35586"
"19",2,"0","0","0"
"19",3,"0","0","0"
"20",1,"NSS","NSS","NSS"
"20",2,"NSS","NSS","NSS"
"20",3,"NSS","NSS","NSS"
"21",1,"NSS","NSS","NSS"
"21",2,"NSS","NSS","NSS"
"21",3,"NSS","NSS","NSS"
"22",1,"29076","9914","19162"
"22",2,"194","73","121"
"22",3,"77","0","77"
"23",1,"13268","1759","11509"
"23",2,"NSS","NSS","NSS"
"23",3,"NSS","NSS","NSS"
"24",1,"19947","1548","18399"
"24",2,"0","0","0"
"24",3,"2303","0","2303"
"25",1,"13702","4092","9610"
"25",2,"101","26","75"
"25",3,"0","0","0"
"26",1,"NSS","NSS","NSS"
"26",2,"NSS","NSS","NSS"
"26",3,"NSS","NSS","NSS"
"27",1,"41380","13697","27683"
"27",2,"0","0","0"
"27",3,"0","0","0"
"28",1,"28146","8614","19532"
"28",2,"89","27","62"
"28",3,"0","0","0"
"29",1,"4682","1796","2886"
"29",2,"30","19","11"
"29",3,"0","0","0"
"30",1,"35228","6041","29187"
"30",2,"318","36","282"
"30",3,"3903","595","3308"
"31",1,"40410","9688","30722"
"31",2,"150","0","150"
"31",3,"2145","0","2145"
"32",1,"12035","235","11800"
"32",2,"62","1","61"
"32",3,"0","0","0"