entidad,eqinfo1,eqinfo2,eqinfo3,eqinfo5,eqinfo6,eqinfo7,eqinfo9,eqinfo10,eqinfo11
"01","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"02","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"03","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"04","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"05","96","73","23","6","6","0","23","192","0"
"06","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"07","108","84","24","4","4","0","6","0","0"
"08","224","224","0","27","0","27","1","1","212"
"09","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","52","25","27","9","0","9","3","0","0"
"11","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"12","80","60","20","30","30","0","2","0","0"
"13","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"14","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"15","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"16","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"18","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"19","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"20","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"21","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"22","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"23","23","23","0","3","2","1","1","0","0"
"24","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"25","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"26","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"27","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"28","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"29","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"30","55","55","0","55","7","48","0","0","0"
"31","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"32","NA","NA","NA","NA","NA","NA","NA","NA","NA"