asenhuma,descrip
0,"No aplica"
1,"Aeropuerto"
2,"Ampliación"
3,"Barrio"
4,"Cantón"
5,"Ciudad"
6,"Ciudad Industrial"
7,"Colonia"
8,"Condominio"
9,"Conjunto Habitacional"
10,"Corredor industrial"
11,"Coto"
12,"Cuartel"
13,"Ejido"
14,"Ex - hacienda"
15,"Fracción"
16,"Fraccionamiento"
17,"Granja"
18,"Hacienda"
19,"Ingenio"
20,"Manzana"
21,"Paraje"
22,"Parque industrial"
23,"Privada"
24,"Prolongación"
25,"Pueblo"
26,"Puerto"
27,"Ranchería"
28,"Rancho"
29,"Región"
30,"Residencial"
31,"Rinconada"
32,"Sección"
33,"Sector"
34,"Supermanzana"
35,"Unidad"
36,"Unidad habitacional"
37,"Villa"
38,"Zona Federal"
39,"Zona industrial"
40,"Zona militar"
41,"Zona naval"
99,"No especificado"